OBJECTID,NGBRHD2,NGBRHDSHRT,NGBRHDALT,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,Shape__Area,Shape__Length
1,San Tomas - South,San Tomas - S.,San Tomas - South,97782,8.0,12.0,15.0,0.0,6.0,14.0,32.0,48,20,7319634.34765625,12315.5824610887
2,Winchester East,Winchester E.,Winchester East,90762,4.0,0.0,0.0,0.0,4.0,14.0,30.0,53,18,8777026.39453125,17030.5072725975
3,Winchester West,Winchester W.,Winchester West,76193,5.0,14.0,19.0,0.0,9.0,19.0,31.0,42,28,4690237.98828125,10996.6630681402
4,Cupertino - Eastside,Cupertino - E.side,Cupertino - Eastside,112785,7.0,8.0,6.0,75.0,5.0,8.0,16.0,71,13,11325214.3320313,15831.1056527688
5,Cupertino - Northside,Cupertino - N.side,Cupertino - Northside,129900,10.0,0.0,0.0,0.0,4.0,6.0,15.0,76,10,6347471.2109375,12876.7008903513
6,Cupertino - Southside,Cupertino - S.side,Cupertino - Southside,146059,5.0,8.0,0.0,0.0,0.0,7.0,12.0,79,7,4279796.09375,9112.54458655416
7,Cupertino - Westside,Cupertino - W.side,Cupertino - Westside,155827,8.0,0.0,0.0,0.0,3.0,6.0,14.0,78,9,27192067.9257813,26244.2095840154
8,Gilroy - East Side,Gilroy - E. Side,Gilroy - East Side,36316,14.0,61.0,84.0,0.0,45.0,23.0,22.0,10,68,6765843.2421875,15050.22413678
9,Gilroy - North Central,Gilroy - N. Cent.,Gilroy - North Central,70068,14.0,30.0,43.0,0.0,26.0,19.0,33.0,22,45,7438548.45703125,11228.2036489664
10,Gilroy - South Central,Gilroy - S. Cent.,Gilroy - South Central,76000,10.0,26.0,48.0,0.0,26.0,18.0,34.0,22,44,11383193.7109375,16756.4817111554
11,Gilroy - West Side,Gilroy - W. Side,Gilroy - West Side,103075,8.0,13.0,0.0,0.0,8.0,19.0,34.0,39,27,57750935.5625,50368.8982395517
12,Los Altos - North,Los Altos - N.,Los Altos/Los Altos Hills - North,156667,4.0,0.0,0.0,84.0,0.0,5.0,13.0,81,5,10485451.5859375,16649.839185825
13,Los Altos - South,Los Altos - S.,Los Altos/Los Altos Hills - South,167104,6.0,4.0,0.0,95.0,0.0,5.0,15.0,78,5,16035903.640625,30099.7982255581
14,Foothills,Foothills,Foothills,258092,5.0,0.0,0.0,0.0,0.0,3.0,11.0,84,3,38954918.46875,37577.3280878962
15,Los Gatos - Eastern,Los Gatos - E.,Los Gatos - Eastern,126051,6.0,6.0,0.0,77.0,3.0,7.0,24.0,66,10,43375879.2734375,37642.1075515463
16,Milpitas - Northcentral,Milpitas - N.Cent.,Milpitas - Northcentral,101978,9.0,16.0,20.0,0.0,17.0,18.0,28.0,38,35,6766358.83984375,11670.0960521478
17,Milpitas - Northeastern,Milpitas - N.E.,Milpitas - Northeastern,86341,10.0,15.0,19.0,0.0,18.0,19.0,27.0,36,37,28523722.5976563,24733.298185079
18,Milpitas - Northwestern,Milpitas - N.W.,Milpitas - Northwestern,78910,10.0,13.0,0.0,0.0,10.0,18.0,27.0,44,28,6737013.40625,12281.3408089157
19,Milpitas - Southeastern,Milpitas - S.E.,Milpitas - Southeastern,101409,10.0,15.0,22.0,0.0,17.0,18.0,26.0,39,35,19886352.8046875,22762.3608279695
20,Milpitas - Southwestern,Milpitas - S.W.,Milpitas - Southwestern,114422,5.0,12.0,14.0,0.0,13.0,15.0,23.0,48,28,12723182.2070313,14877.8143390922
