OBJECTID,NGBRHD2,NGBRHDSHRT,NGBRHDALT,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child,Shape__Area,Shape__Length
1,San Tomas - South,San Tomas - S.,San Tomas - South,83.0,140.3,135.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,7,8,35,77,6.5,10% to 11%,16% to 20%,17% to 22%,10% to 15%,7319634.34765625,12315.5824610887
2,Winchester East,Winchester E.,Winchester East,83.0,141.4,137.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,6,9,35,75,17.0,13% to 16%,15% to 16%,17% to 22%,6% to 8%,8777026.39453125,17030.5072725975
3,Winchester West,Winchester W.,Winchester West,84.0,139.5,124.8,0.0,0.0,33.5,0.0,0.0,0.0,0.0,12.6,4,7,38,76,10.8,13% to 16%,16% to 20%,17% to 22%,8% to 10%,4690237.98828125,10996.6630681402
4,Cupertino - Eastside,Cupertino - E.side,Cupertino - Eastside,86.0,121.4,102.9,25.5,28.1,20.3,25.1,0.0,0.0,0.0,9.8,7,9,23,78,2.3,9,14,11% to 17%,0% to 6%,11325214.3320313,15831.1056527688
5,Cupertino - Northside,Cupertino - N.side,Cupertino - Northside,87.0,93.4,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,6,8,28,80,1.0,8% to 10%,1% to 15%,11% to 17%,0% to 6%,6347471.2109375,12876.7008903513
6,Cupertino - Southside,Cupertino - S.side,Cupertino - Southside,86.0,109.8,144.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3,7,26,77,1.1,3% to 8%,1% to 15%,0% to 11%,0% to 6%,4279796.09375,9112.54458655416
7,Cupertino - Westside,Cupertino - W.side,Cupertino - Westside,86.0,107.0,101.1,50.7,25.2,17.6,21.9,0.0,0.0,15.7,5.0,6,9,21,79,0.9,3% to 8%,1% to 15%,0% to 11%,0% to 6%,27192067.9257813,26244.2095840154
8,Gilroy - East Side,Gilroy - E. Side,Gilroy - East Side,79.0,120.0,151.8,65.5,0.0,0.0,0.0,0.0,0.0,0.0,20.9,7,10,58,68,54.0,10% to 11%,23% to 31%,11% to 17%,10% to 15%,6765843.2421875,15050.22413678
9,Gilroy - North Central,Gilroy - N. Cent.,Gilroy - North Central,81.0,154.3,153.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,6,10,57,74,41.2,11% to 13%,23% to 31%,26% to 38%,10% to 15%,7438548.45703125,11228.2036489664
10,Gilroy - South Central,Gilroy - S. Cent.,Gilroy - South Central,82.0,145.3,161.7,46.7,0.0,0.0,0.0,41.6,0.0,0.0,15.0,7,12,50,74,42.7,10% to 11%,23% to 31%,22% to 26%,10% to 15%,11383193.7109375,16756.4817111554
