notes,geolevel,GEOID,NAME,t_pop,area,pop_density,ObjectId
0,County,6085.0,"Santa Clara County, California",1924379.0,1291.08,1490.5,1
0,City,643280.0,"Los Altos city, California",30878.0,6.54,4721.5,2
0,City,643294.0,"Los Altos Hills town, California",8496.0,9.03,940.9,3
0,City,644112.0,"Los Gatos town, California",31943.0,11.55,2765.6,4
0,City,647766.0,"Milpitas city, California",75182.0,13.48,5576.3,5
0,City,648956.0,"Monte Sereno city, California",3511.0,1.63,2151.0,6
0,City,649278.0,"Morgan Hill city, California",44789.0,12.94,3461.8,7
0,City,649670.0,"Mountain View city, California",80104.0,11.96,6698.7,8
0,City,655282.0,"Palo Alto city, California",67973.0,24.1,2820.9,9
0,City,610345.0,"Campbell city, California",42891.0,6.08,7053.7,10
0,City,617610.0,"Cupertino city, California",59799.0,11.33,5279.0,11
0,City,668000.0,"San Jose city, California",1029409.0,178.26,5774.8,12
0,City,669084.0,"Santa Clara city, California",126723.0,18.28,6933.6,13
0,City,670280.0,"Saratoga city, California",31084.0,12.78,2432.3,14
0,City,677000.0,"Sunnyvale city, California",152569.0,22.06,6916.0,15
0,City,629504.0,"Gilroy city, California",55227.0,16.54,3339.9,16
0,ZCTA,95148.0,ZCTA5 95148,48629.0,9.42,5164.1,17
0,ZCTA,95139.0,ZCTA5 95139,7262.0,1.23,5902.8,18
0,ZCTA,95013.0,ZCTA5 95013,34.0,1.51,22.6,19
0,ZCTA,95053.0,ZCTA5 95053,3835.0,0.17,22455.1,20
0,ZCTA,94022.0,ZCTA5 94022,19701.0,17.47,1127.7,21
0,ZCTA,94085.0,ZCTA5 94085,23592.0,3.49,6750.2,22
0,ZCTA,95121.0,ZCTA5 95121,38258.0,4.43,8637.2,23
0,ZCTA,95002.0,ZCTA5 95002,2251.0,11.87,189.7,24
0,ZCTA,95119.0,ZCTA5 95119,10450.0,2.83,3687.3,25
0,ZCTA,95127.0,ZCTA5 95127,63220.0,13.0,4864.3,26
0,ZCTA,95128.0,ZCTA5 95128,35986.0,3.9,9225.8,27
0,ZCTA,95130.0,ZCTA5 95130,14051.0,1.55,9074.7,28
0,ZCTA,95138.0,ZCTA5 95138,20597.0,25.61,804.2,29
0,ZCTA,95030.0,ZCTA5 95030,13631.0,10.34,1318.7,30
0,ZCTA,95037.0,ZCTA5 95037,51968.0,244.15,212.9,31
0,ZCTA,95050.0,ZCTA5 95050,38884.0,5.27,7372.5,32
0,ZCTA,95120.0,ZCTA5 95120,38177.0,39.74,960.8,33
0,ZCTA,95123.0,ZCTA5 95123,70005.0,8.29,8441.5,34
0,ZCTA,95032.0,ZCTA5 95032,25865.0,16.02,1614.5,35
0,ZCTA,95140.0,ZCTA5 95140,56.0,123.61,0.5,36
0,ZCTA,94024.0,ZCTA5 94024,23704.0,7.32,3240.5,37
0,ZCTA,94086.0,ZCTA5 94086,49190.0,4.49,10957.5,38
0,ZCTA,94304.0,ZCTA5 94304,4391.0,6.5,675.6,39
0,ZCTA,94043.0,ZCTA5 94043,31999.0,10.68,2997.6,40
0,ZCTA,94087.0,ZCTA5 94087,57015.0,6.58,8661.9,41
0,ZCTA,94089.0,ZCTA5 94089,23049.0,5.99,3847.1,42
0,ZCTA,94306.0,ZCTA5 94306,27650.0,4.19,6602.5,43
0,ZCTA,94041.0,ZCTA5 94041,13996.0,1.53,9139.6,44
0,ZCTA,95054.0,ZCTA5 95054,23959.0,6.23,3844.1,45
0,ZCTA,95129.0,ZCTA5 95129,40277.0,4.52,8916.9,46
0,ZCTA,94040.0,ZCTA5 94040,34804.0,3.67,9482.1,47
0,ZCTA,94301.0,ZCTA5 94301,17470.0,2.37,7364.6,48
0,ZCTA,94305.0,ZCTA5 94305,16283.0,5.18,3145.8,49
0,ZCTA,95014.0,ZCTA5 95014,61480.0,27.13,2266.3,50
0,Census tract,6085506401.0,"Census Tract 5064.01, Santa Clara County, California",4781.0,0.52,9218.1,51
0,Census tract,6085506402.0,"Census Tract 5064.02, Santa Clara County, California",5714.0,0.56,10259.8,52
0,Census tract,6085506502.0,"Census Tract 5065.02, Santa Clara County, California",4199.0,1.17,3599.5,53
0,Census tract,6085506503.0,"Census Tract 5065.03, Santa Clara County, California",6066.0,0.69,8779.5,54
0,Census tract,6085506504.0,"Census Tract 5065.04, Santa Clara County, California",2856.0,0.08,35281.3,55
0,Census tract,6085506505.0,"Census Tract 5065.05, Santa Clara County, California",4894.0,0.25,19278.7,56
0,Census tract,6085506601.0,"Census Tract 5066.01, Santa Clara County, California",4122.0,0.6,6815.0,57
0,Census tract,6085506603.0,"Census Tract 5066.03, Santa Clara County, California",4277.0,0.49,8657.0,58
0,Census tract,6085506605.0,"Census Tract 5066.05, Santa Clara County, California",4558.0,0.39,11814.6,59
0,Census tract,6085506606.0,"Census Tract 5066.06, Santa Clara County, California",5004.0,0.46,10798.3,60
0,Census tract,6085506701.0,"Census Tract 5067.01, Santa Clara County, California",4177.0,0.62,6763.3,61
0,Census tract,6085506702.0,"Census Tract 5067.02, Santa Clara County, California",6185.0,0.65,9468.9,62
0,Census tract,6085506703.0,"Census Tract 5067.03, Santa Clara County, California",3480.0,0.52,6654.4,63
0,Census tract,6085506801.0,"Census Tract 5068.01, Santa Clara County, California",5656.0,1.12,5064.6,64
0,Census tract,6085506802.0,"Census Tract 5068.02, Santa Clara County, California",5897.0,0.79,7472.8,65
0,Census tract,6085506803.0,"Census Tract 5068.03, Santa Clara County, California",7146.0,0.88,8080.5,66
0,Census tract,6085506804.0,"Census Tract 5068.04, Santa Clara County, California",4459.0,0.6,7489.0,67
0,Census tract,6085506900.0,"Census Tract 5069, Santa Clara County, California",7720.0,3.63,2129.3,68
0,Census tract,6085507002.0,"Census Tract 5070.02, Santa Clara County, California",3429.0,5.27,650.6,69
0,Census tract,6085507003.0,"Census Tract 5070.03, Santa Clara County, California",3088.0,3.68,838.8,70
0,Census tract,6085507004.0,"Census Tract 5070.04, Santa Clara County, California",3459.0,0.93,3702.6,71
0,Census tract,6085507100.0,"Census Tract 5071, Santa Clara County, California",3159.0,0.61,5191.3,72
0,Census tract,6085507203.0,"Census Tract 5072.03, Santa Clara County, California",3062.0,0.7,4385.4,73
0,Census tract,6085507205.0,"Census Tract 5072.05, Santa Clara County, California",4651.0,1.3,3566.4,74
0,Census tract,6085507206.0,"Census Tract 5072.06, Santa Clara County, California",2586.0,1.25,2068.8,75
0,Census tract,6085507301.0,"Census Tract 5073.01, Santa Clara County, California",6883.0,3.26,2112.2,76
0,Census tract,6085507302.0,"Census Tract 5073.02, Santa Clara County, California",2846.0,4.58,620.9,77
0,Census tract,6085507401.0,"Census Tract 5074.01, Santa Clara County, California",5869.0,1.25,4709.3,78
0,Census tract,6085507402.0,"Census Tract 5074.02, Santa Clara County, California",3996.0,0.93,4281.3,79
0,Census tract,6085507500.0,"Census Tract 5075, Santa Clara County, California",5856.0,1.43,4107.8,80
0,Census tract,6085507600.0,"Census Tract 5076, Santa Clara County, California",5888.0,5.36,1099.2,81
0,Census tract,6085507701.0,"Census Tract 5077.01, Santa Clara County, California",3296.0,1.02,3232.3,82
0,Census tract,6085507702.0,"Census Tract 5077.02, Santa Clara County, California",6993.0,2.97,2352.6,83
0,Census tract,6085507704.0,"Census Tract 5077.04, Santa Clara County, California",3352.0,0.51,6549.0,84
0,Census tract,6085507705.0,"Census Tract 5077.05, Santa Clara County, California",4270.0,2.02,2111.1,85
